Prospect Name,URL,Category,Contact Name,Contact Email/Form,Pitch Type (template #),Personalization Note Used,Date Sent,Follow-up 1 (Day 4),Follow-up 2 (Day 10),Status (queued/sent/replied/accepted/published/declined/no-response),Resulting Link URL,Anchor Text,Next Action,Notes
Hospitality Net,https://www.hospitalitynet.org,Hospitality publication,(find named contact),https://www.hospitalitynet.org/contact,Contributed opinion piece on missed-call,,,,,queued,,Anchor for Hotels,"Write personal line, verify URL, send",Seeded by Phase 5; URL unverified (egress blocked) — confirm before sending
eHotelier,https://ehotelier.com,Hospitality publication,(find named contact),https://ehotelier.com/contact-us/,Insights article: front desk staffing sh,,,,,queued,,hotel answering service,"Write personal line, verify URL, send",Seeded by Phase 5; URL unverified (egress blocked) — confirm before sending
Hotel Tech Report,https://hoteltechreport.com,Hotel technology site,(find named contact),https://hoteltechreport.com/about,Create free vendor profile in Guest Mess,,,,,queued,,Anchor for Hotels,"Write personal line, verify URL, send",Seeded by Phase 5; URL unverified (egress blocked) — confirm before sending
Revfine,https://www.revfine.com,Hotel technology site,(find named contact),https://www.revfine.com/contact/,Guest article on revenue leakage from un,,,,,queued,,missed call recovery for hotels,"Write personal line, verify URL, send",Seeded by Phase 5; URL unverified (egress blocked) — confirm before sending
AAHOA (Allied Membership),https://www.aahoa.com,Hotel owner association,(find named contact),https://www.aahoa.com/contact,Join as allied/vendor member -> director,,,,,queued,,Anchor for Hotels,"Write personal line, verify URL, send",Seeded by Phase 5; URL unverified (egress blocked) — confirm before sending
Google Business Profile,https://business.google.com,Local directory,(find named contact),https://support.google.com/business,Claim + fully populate; copy in local_se,,,,,queued,,Anchor for Hotels,"Write personal line, verify URL, send",Seeded by Phase 5; URL unverified (egress blocked) — confirm before sending
G2,https://www.g2.com,SaaS review directory,(find named contact),https://www.g2.com/contact,Create profile in AI Voice/Answering Ser,,,,,queued,,Anchor for Hotels,"Write personal line, verify URL, send",Seeded by Phase 5; URL unverified (egress blocked) — confirm before sending
Capterra,https://www.capterra.com,SaaS directory,(find named contact),https://www.capterra.com/contact/,Free vendor listing; Hospitality + Call ,,,,,queued,,anchorforhotels.com,"Write personal line, verify URL, send",Seeded by Phase 5; URL unverified (egress blocked) — confirm before sending
Today's Hotelier (AAHOA),https://www.todayshotelier.com,Hospitality publication,(find named contact),https://www.todayshotelier.com,Perfect audience (owner-operators); pitc,,,,,queued,,Anchor for Hotels,"Write personal line, verify URL, send",Seeded by Phase 5; URL unverified (egress blocked) — confirm before sending
Asian Hospitality,https://www.asianhospitality.com,Hospitality publication,(find named contact),https://www.asianhospitality.com/contact/,Audience = AAHOA-segment owner-operators,,,,,queued,,overnight hotel call answering,"Write personal line, verify URL, send",Seeded by Phase 5; URL unverified (egress blocked) — confirm before sending
