hotel_name,website,email,phone,city,state,source_url,category,notes
"Ontario Inn Motel",https://www.ontarioinnmotel.com,ontarioinn@msn.com,541-823-2556,Ontario,OR,https://www.ontarioinnmotel.com,motel,likely_owner_or_manager | brand:independent
"Carolina Motel",https://www.carolinamotel.com,manager@carolinamotel.com,,Franklin,NC,https://www.carolinamotel.com/contact,motel,likely_owner_or_manager | brand:independent
"E-Z 8 Motel Old Town",https://www.ez8hotels.com,reservations@ez8hotels.com,(619) 294-2512,San Diego,CA,https://www.ez8hotels.com,limited_service_hotel,generic_contact_email | brand:independent
"Quality Inn New River Gorge",https://www.qinrg.com,richard@qinrg.com,(304) 574-8256,Fayetteville,WV,https://www.qinrg.com/contact,small_franchise_hotel,likely_owner_or_manager | brand:franchise (Choice Hotels)
"Historic Morris Harvey House Inn",https://www.morrisharveyhouse.com,contact@morrisharveyhouse.com,(304) 646-7561,Fayetteville,WV,https://www.morrisharveyhouse.com,boutique_hotel,generic_contact_email | brand:independent
"Florida Hotel and Conference Center",https://www.thefloridahotelorlando.com,reservations@thefloridahotelorlando.com,407-859-1500,Orlando,FL,https://www.thefloridahotelorlando.com,independent_hotel,generic_contact_email | brand:independent
"The State Hotel",https://www.statehotel.com,info@statehotel.com,206-513-7300,Seattle,WA,https://www.statehotel.com,boutique_hotel,generic_contact_email | brand:independent
"Westwood Motel",https://www.westwoodmotelwy.com,westwoodmotel@hotmail.com,406-646-7713,West Yellowstone,MT,https://www.westwoodmotelwy.com,motel,likely_owner_or_manager | brand:independent
"South of the Border Motor Inn",https://www.sobpedro.com,info@sobpedro.com,843-774-2437,Dillon,SC,https://www.sobpedro.com,motel,generic_contact_email | brand:independent
"The Alaskan Hotel and Bar",https://www.thealaskanhotel.com,reservations@thealaskanhotel.com,,Juneau,AK,https://www.thealaskanhotel.com/contact-us,boutique_hotel,generic_contact_email | brand:independent
"Timber Ridge Inn",https://www.thetimberridgeinn.com,upnorth@thetimberridgeinn.com,(906) 387-3790,Munising,MI,https://www.thetimberridgeinn.com,independent_hotel,likely_owner_or_manager | brand:independent
"New Hope Inn and Suites",https://www.newhopeinnpa.com,newhopeinnpa@yahoo.com,(215) 862-5221,New Hope,PA,https://www.newhopeinnpa.com,independent_hotel,likely_owner_or_manager | brand:independent
"MADE Hotel",https://www.madehotels.com,hello@madehotels.com,212-213-4429,New York,NY,https://www.madehotels.com,boutique_hotel,generic_contact_email | brand:independent
"Alpine Inn of Pagosa Springs",https://www.alpineinnpagosasprings.com,alpineinnpagosa@gmail.com,970-731-4005,Pagosa Springs,CO,https://www.alpineinnpagosasprings.com,motel,likely_owner_or_manager | brand:independent
"Hamilton Motel",https://www.hamiltonmotel.com,prafulp64@gmail.com,(843) 873-0220,Summerville,SC,https://www.hamiltonmotel.com,motel,likely_owner_or_manager | brand:independent
"Motel DuBeau",https://www.modubeau.com,info@modubeau.com,(928) 774-6731,Flagstaff,AZ,https://www.modubeau.com,motel,generic_contact_email | brand:independent
"Country Squire Motor Inn",https://www.countrysquiremotor.com,countrysquireinn@comcast.net,(717) 354-4166,New Holland,PA,https://www.countrysquiremotor.com,motel,likely_owner_or_manager | brand:independent
"Monticello Inn",https://www.monticelloinnutah.com,monticelloinnutah@gmail.com,(435) 587-2275,Monticello,UT,https://www.monticelloinnutah.com,motel,likely_owner_or_manager | brand:independent
"Village Inn Motel",https://www.villageinnoregon.com,frontdesk@villageinnoregon.com,541-747-4546,Springfield,OR,https://www.villageinnoregon.com,motel,generic_contact_email | brand:independent
"Timbers Inn",https://www.timbersinneugene.com,timbersinneugene@gmail.com,(541) 343-3345,Eugene,OR,https://www.timbersinneugene.com,motel,likely_owner_or_manager | brand:independent
"Kauai Shores Hotel",https://www.kauaishoreshotel.com,hhr@hawaiihotels.com,808-822-4951,Kapaa,HI,https://www.kauaishoreshotel.com,independent_hotel,likely_owner_or_manager | brand:independent
"Viking Motel",https://www.vikingmotelportland.com,reservations@vikingmotelportland.com,(503) 285-4896,Portland,OR,https://www.vikingmotelportland.com,motel,generic_contact_email | brand:independent
"Palms Motel",https://www.palmsmotel.com,info@palmsmotel.com,(503) 287-5788,Portland,OR,https://www.palmsmotel.com,motel,generic_contact_email | brand:independent
"New England Inn",https://www.newenglandinn.com,frontdesk@newenglandinn.com,(603) 356-5541,North Conway,NH,https://www.newenglandinn.com,boutique_hotel,generic_contact_email | brand:independent
"Colonial Hotel",https://www.colonial-hotel.com,GM@Colonial-Hotel.com,978-630-2500,Gardner,MA,https://www.colonial-hotel.com,independent_hotel,likely_owner_or_manager | brand:independent
"Mt. Williamson Motel",https://www.mtwilliamsonmotel.com,Info@mtwilliamsonmotel.com,(760) 878-2121,Independence,CA,https://www.mtwilliamsonmotel.com,motel,generic_contact_email | brand:independent
"Downtown Inn",https://www.downtowninn.com,info@downtowninn.com,541-345-8739,Eugene,OR,https://www.downtowninn.com,motel,generic_contact_email | brand:independent
"Coleman Inn",https://www.colemaninn.com,colemaninntx@gmail.com,(325) 625-4176,Coleman,TX,https://www.colemaninn.com,motel,likely_owner_or_manager | brand:independent
"KC Inn",https://www.kcinn.com,kcinnfrontdesk@outlook.com,(913) 253-6104,Kansas City,MO,https://www.kcinn.com,limited_service_hotel,generic_contact_email | brand:independent
"Texan Inn and Suites",https://www.texaninnandsuites.com,texaninnandsuites@gmail.com,(361) 274-2267,Tilden,TX,https://www.texaninnandsuites.com,motel,likely_owner_or_manager | brand:independent
"The L Motel",https://www.thelmotel.com,TheLMotelFlagstaff@gmail.com,928-774-8820,Flagstaff,AZ,https://www.thelmotel.com,motel,likely_owner_or_manager | brand:independent
